paper	sample_alias	numPeaks
LaraAstiaso	GSM1463172	55423
LaraAstiaso	GSM1463173	50739
LaraAstiaso	GSM1463174	28942
LaraAstiaso	GSM1463175	50670
LaraAstiaso	GSM1463176	27812
LaraAstiaso	GSM1463177	44469
LaraAstiaso	GSM1463178	34098
LaraAstiaso	GSM1463179	75738
LaraAstiaso	GSM1463180	88590
LaraAstiaso	GSM1463181	39612
LaraAstiaso	GSM1973012	19352
Wang	GSM1667040	34003
Wang	GSM1667041	28429
Wang	GSM1667042	44342
Wang	GSM1667043	37341
Shih	GSM2056292	41195
Shih	GSM2056293	38234
Shih	GSM2056294	41072
Shih	GSM2056295	34015
Shih	GSM2056296	52531
Shih	GSM2056297	39441
Shih	GSM2056298	48538
Shih	GSM2056299	52383
Shih	GSM2056300	34808
Shih	GSM2056301	36557
Shih	GSM2056302	37770
Shih	GSM2056303	33864
Shih	GSM2056304	45633
Shih	GSM2056305	36676
Shih	GSM2056306	36567
Shih	GSM2056307	37162
Shih	GSM2056308	42896
Shih	GSM2056309	57341
Shih	GSM2056310	40137
Shih	GSM2056311	29492
Shih	GSM2056312	32001
Shih	GSM2056313	48493
Shih	GSM2056314	38345
Shih	GSM2056315	37751
Shih	GSM2056316	50828
Shih	GSM2056317	44398
Shih	GSM2056318	42765
Shih	GSM2056319	47960
Shih	GSM2056320	50932
Shih	GSM2056321	49247
Shih	GSM2056322	46184
Shih	GSM2056323	48510
Shih	GSM2056324	49983
Shih	GSM2056325	44370
Shih	GSM2056326	42451
Shih	GSM2056327	33602
Shih	GSM2056328	41594
Shih	GSM2056329	41140
Shih	GSM2056330	46353
Shih	GSM2056331	44394
Shih	GSM2056332	33049
Shih	GSM2056333	26398
Shih	GSM2056334	36906
Shih	GSM2056335	37044
Shih	GSM2056336	25587
Shih	GSM2056337	36425
DellOrso	GSM1972411	41993
DellOrso	GSM1972412	42691
DellOrso	GSM1972413	16687
DellOrso	GSM1972414	17018
George	GSM1930178	29267
George	GSM1930179	28753
George	GSM1930180	55521
George	GSM1930181	23547
George	GSM1930182	36038
George	GSM1930183	31128
George	GSM1930184	25447
George	GSM1930185	40747
Atianand	GSM2080017	62241
Atianand	GSM2080018	60691
Atianand	GSM2080019	67670
Atianand	GSM2080020	65035
Atianand	GSM2080021	70139
Atianand	GSM2080022	74958
Atianand	GSM2080023	54576
Atianand	GSM2080024	53853
